Тип предприятия,Код предприятия,Количество хостов,Код реализованной угрозы,Успех,Регион размещения предприятия,Дата инцидента,Региональное время
розничная торговля,1853,471,179,0,Смоленская область,01.08.2023,01.08.2023 16:58
фармацевтика,7909,1843,146,1,Орловская область,16.02.2025,16.02.2025 14:39
металлургия,2141,1189,125,0,Чеченская республика,21.06.2025,21.06.2025 04:04
автобизнес,5149,225,181,0,Луганская Народная Республика,23.11.2024,23.11.2024 19:33
образование,1561,1086,170,0,Оренбургская область,09.12.2024,10.12.2024 02:43
НКО,6306,504,215,0,Санкт-Петербург,18.11.2023,18.11.2023 19:54
логистика,8124,1980,43,0,Омская область,18.10.2024,18.10.2024 13:21
автобизнес,0825,1238,58,1,Республика Ингушетия,26.04.2024,26.04.2024 05:29
консалтинг,9389,1117,23,1,Тюменская область,09.10.2024,09.10.2024 08:31
НКО,0292,410,104,1,Республика Адыгея,01.01.2023,01.01.2023 05:50
образование,4991,1241,144,0,Севастополь,23.07.2025,23.07.2025 13:23
машиностроение,3653,1929,117,1,Республика Бурятия,26.08.2025,27.08.2025 06:42
системная интеграция,7415,433,25,0,Калининградская область,30.11.2024,30.11.2024 13:53
НКО,4784,1321,134,1,Псковская область,04.04.2023,04.04.2023 08:31
энергетика,6705,419,66,0,Курская область,05.09.2023,05.09.2023 15:13
консалтинг,3123,1667,87,0,Республика Дагестан,06.04.2023,06.04.2023 23:53
фармацевтика,2019,1781,116,1,Донецкая Народная Республика,29.10.2025,29.10.2025 07:31
металлургия,8690,1707,13,1,Республика Саха (Якутия),16.09.2025,17.09.2025 01:49
розничная торговля,9480,555,188,0,Псковская область,04.03.2025,05.03.2025 00:38
образование,5274,1232,226,1,Республика Дагестан,23.05.2024,23.05.2024 11:25
телекоммуникации,4820,1127,207,0,Ивановская область,25.04.2025,25.04.2025 22:44
безопасность,4898,1926,180,1,Иркутская область,21.03.2024,21.03.2024 14:13
образование,4761,1606,89,0,Севастополь,31.12.2023,31.12.2023 19:34
НКО,5282,1654,30,1,Республика Бурятия,10.09.2025,11.09.2025 02:36
реклама,8748,785,225,1,Санкт-Петербург,06.12.2025,06.12.2025 06:01
маркетинг,2382,308,172,0,Белгородская область,30.06.2024,30.06.2024 08:18
автобизнес,2400,1919,16,1,Липецкая область,08.03.2023,08.03.2023 14:52
консалтинг,1680,1461,223,0,Республика Крым,07.03.2025,07.03.2025 10:32
информационные технологии,0770,981,100,1,Херсонская область,02.10.2024,02.10.2024 20:03
металлургия,4118,615,159,1,Воронежская область,23.01.2025,23.01.2025 21:34
образование,3219,1789,186,0,Удмуртская Республика,08.07.2025,08.07.2025 08:43
добыча,3064,555,189,0,Ставропольский край,25.03.2023,25.03.2023 16:17
медицина,4330,466,42,1,Калининградская область,07.11.2024,07.11.2024 16:45
энергетика,0655,514,83,0,Камчатский край,08.09.2024,09.09.2024 03:50
фармацевтика,9014,933,19,1,Республика Алтай,26.03.2024,26.03.2024 12:33
добыча,8277,526,107,1,Архангельская область,16.12.2024,16.12.2024 10:56
ресторанный бизнес,5438,878,93,1,Тамбовская область,22.12.2025,22.12.2025 18:35
НКО,0145,434,172,1,Тюменская область,07.05.2024,08.05.2024 01:39
образование,3995,281,175,1,Ставропольский край,21.08.2023,21.08.2023 15:16
медицина,4634,250,133,1,Кемеровская область,07.11.2025,07.11.2025 21:31
машиностроение,4857,1534,50,1,Кемеровская область,18.06.2023,18.06.2023 10:10
медицина,8737,215,161,0,Липецкая область,12.03.2024,13.03.2024 00:27
химия,3369,1301,213,1,Республика Крым,28.05.2023,29.05.2023 02:43
энергетика,0390,1140,184,1,Республика Адыгея,29.06.2023,29.06.2023 05:03
розничная торговля,4128,1342,19,0,Республика Мордовия,14.04.2025,14.04.2025 15:28
НКО,6627,1086,81,0,Кабардино-Балкарская Республика,31.08.2023,31.08.2023 20:00
НКО,1037,1748,191,0,Мурманская область,02.01.2025,02.01.2025 19:06
информационные технологии,4938,1442,23,1,Ханты-Мансийский автономный округ - Югра,20.02.2025,20.02.2025 17:52
металлургия,7766,520,137,0,Ивановская область,11.03.2025,11.03.2025 20:18
НКО,2361,810,174,1,Санкт-Петербург,17.10.2023,17.10.2023 06:02
металлургия,9384,1421,101,0,Республика Башкортостан,06.03.2024,07.03.2024 04:47
системная интеграция,3470,1045,166,0,Смоленская область,12.01.2024,12.01.2024 10:39
автобизнес,3184,434,47,0,Иркутская область,02.08.2025,03.08.2025 04:35
добыча,4763,1575,18,1,Вологодская область,09.02.2024,10.02.2024 02:37
логистика,5421,931,33,0,Вологодская область,06.08.2024,06.08.2024 22:04
ресторанный бизнес,5207,1195,116,1,Сахалинская область,18.09.2024,19.09.2024 09:37
энергетика,9267,1360,94,1,Республика Карачаево-Черкесия,12.12.2023,12.12.2023 03:20
отели,3630,1658,190,1,Кировская область,06.01.2025,06.01.2025 07:43
телекоммуникации,7864,1147,115,1,Республика Башкортостан,24.09.2025,24.09.2025 22:06
розничная торговля,9939,367,216,1,Ивановская область,07.02.2024,07.02.2024 11:46
НКО,1253,1689,20,0,Новосибирская область,05.03.2023,06.03.2023 01:37
маркетинг,9668,635,10,1,Красноярский край,24.08.2025,25.08.2025 03:49
энергетика,5994,1003,58,1,Ивановская область,09.08.2025,09.08.2025 19:32
добыча,6501,945,129,0,Донецкая Народная Республика,04.05.2024,04.05.2024 22:43
розничная торговля,8424,487,115,0,Калужская область,27.10.2023,28.10.2023 02:46
логистика,5879,282,57,1,Рязанская область,09.05.2023,09.05.2023 11:23
отели,0702,1569,53,1,Кабардино-Балкарская Республика,19.08.2025,19.08.2025 17:56
машиностроение,0654,1528,83,0,Алтайский край,14.07.2024,15.07.2024 06:16
фармацевтика,8919,1367,45,1,Севастополь,14.02.2025,14.02.2025 14:37
НКО,1276,1258,65,1,Воронежская область,23.11.2025,23.11.2025 15:22
системная интеграция,7977,1823,124,0,Новосибирская область,12.10.2023,12.10.2023 21:10
отели,1264,1253,165,1,Тамбовская область,04.11.2023,04.11.2023 08:10
системная интеграция,9864,1669,210,0,Донецкая Народная Республика,16.04.2024,16.04.2024 16:51
телекоммуникации,1857,1186,173,1,Оренбургская область,07.03.2024,07.03.2024 23:10
НКО,6733,245,63,0,Ярославская область,26.11.2023,26.11.2023 07:40
безопасность,0643,1372,38,0,Брянская область,12.06.2024,12.06.2024 08:33
маркетинг,9820,1354,164,0,Донецкая Народная Республика,03.08.2024,03.08.2024 05:13
консалтинг,9938,1165,223,1,Брянская область,25.03.2024,25.03.2024 16:38
энергетика,9547,1880,197,0,Магаданская область,12.11.2025,12.11.2025 19:10
телекоммуникации,7430,1421,152,0,Рязанская область,13.02.2025,13.02.2025 15:08
химия,0272,614,134,1,Костромская область,17.07.2023,17.07.2023 08:30
образование,9828,279,225,0,Архангельская область,14.09.2025,15.09.2025 00:08
образование,8836,1894,1,1,Алтайский край,11.05.2025,11.05.2025 18:55
машиностроение,8681,1078,59,1,Ставропольский край,18.12.2024,18.12.2024 21:51
фармацевтика,1601,1071,35,1,Оренбургская область,21.04.2024,21.04.2024 07:18
образование,8909,1036,66,0,Калининградская область,15.01.2023,15.01.2023 20:33
химия,8516,214,97,0,Пензенская область,17.04.2025,17.04.2025 14:06
энергетика,6981,1534,150,1,Республика Мордовия,17.05.2025,17.05.2025 21:23
образование,4515,1593,102,0,Чеченская республика,15.09.2025,15.09.2025 08:23
медицина,9092,1190,65,1,Амурская область,06.12.2024,07.12.2024 07:25
энергетика,1952,1731,59,1,Смоленская область,25.07.2023,25.07.2023 09:32
маркетинг,5545,1840,141,0,Смоленская область,07.03.2025,07.03.2025 23:00
добыча,2382,1165,154,1,Архангельская область,12.05.2023,12.05.2023 11:14
системная интеграция,1312,1447,10,1,Республика Ингушетия,03.12.2025,03.12.2025 12:45
образование,0942,1784,210,0,Чукотский автономный округ,09.10.2025,10.10.2025 02:00
ресторанный бизнес,8490,785,50,0,Хабаровский край,11.11.2025,12.11.2025 02:44
отели,2777,1580,10,1,Тульская область,01.01.2023,01.01.2023 08:05
автобизнес,6545,923,172,1,Республика Ингушетия,15.02.2024,15.02.2024 19:00
добыча,1478,1325,73,1,Волгоградская область,20.07.2024,20.07.2024 10:38
ресторанный бизнес,7451,1027,148,0,Республика Мордовия,25.12.2023,25.12.2023 16:32
химия,9153,348,129,1,Саратовская область,28.08.2023,28.08.2023 19:16
медицина,9420,712,178,1,Ставропольский край,17.09.2025,17.09.2025 10:48
телекоммуникации,7518,1595,118,0,Оренбургская область,27.08.2023,27.08.2023 13:04
маркетинг,3611,1586,180,0,Пензенская область,24.04.2025,24.04.2025 14:33
медицина,0160,1635,214,1,Республика Марий,11.08.2024,11.08.2024 05:25
телекоммуникации,1246,1335,46,1,Пензенская область,25.12.2024,25.12.2024 09:57
фармацевтика,4409,574,192,0,Томская область,13.02.2024,13.02.2024 14:47
отели,4349,623,59,0,Республика Марий,30.12.2024,30.12.2024 07:49
химия,1965,360,174,1,Сахалинская область,14.01.2023,15.01.2023 04:02
логистика,6082,1471,81,1,Амурская область,16.07.2024,17.07.2024 00:11
безопасность,4592,1014,57,0,Республика Коми,12.12.2025,12.12.2025 16:30
медицина,0534,1229,89,1,Херсонская область,24.12.2023,24.12.2023 17:07
безопасность,7538,846,177,0,Санкт-Петербург,07.03.2024,07.03.2024 15:37
химия,5332,940,157,1,Орловская область,22.06.2024,22.06.2024 10:17
логистика,5622,949,48,1,Республика Карачаево-Черкесия,07.03.2024,07.03.2024 16:44
системная интеграция,5982,1949,103,1,Тюменская область,04.01.2024,04.01.2024 23:08
фармацевтика,3745,1867,26,1,Тульская область,04.06.2025,04.06.2025 15:12
энергетика,2451,1168,207,0,Калужская область,13.05.2025,13.05.2025 18:08
НКО,8471,1293,185,1,Омская область,06.09.2024,06.09.2024 14:35
фармацевтика,0782,1015,26,0,Краснодарский край,17.03.2024,17.03.2024 11:30
НКО,1578,1121,191,1,Республика Мордовия,09.01.2025,09.01.2025 14:35
медицина,4223,904,6,1,Тверская область,20.12.2024,21.12.2024 00:38
ресторанный бизнес,9452,1379,167,0,Республика Татарстан,28.12.2024,28.12.2024 13:43
безопасность,7988,1786,189,1,Ненецкий автономный округ,19.02.2025,19.02.2025 22:18
консалтинг,2374,1978,43,1,Республика Дагестан,08.04.2025,08.04.2025 05:05
розничная торговля,5630,667,81,1,Севастополь,19.08.2024,20.08.2024 01:17
образование,6480,755,114,1,Еврейская автономная область,02.12.2025,03.12.2025 00:26
розничная торговля,3013,1949,6,0,Тульская область,30.05.2024,31.05.2024 02:44
добыча,3451,541,102,0,Вологодская область,11.05.2023,11.05.2023 18:35
машиностроение,0432,1778,102,0,Псковская область,21.06.2024,21.06.2024 22:09
добыча,6388,833,59,0,Республика Татарстан,26.06.2025,26.06.2025 23:08
энергетика,8631,1917,44,0,Республика Адыгея,31.12.2024,31.12.2024 13:55
логистика,7655,1983,139,1,Иркутская область,30.06.2025,30.06.2025 12:44
медицина,2901,1410,153,1,Камчатский край,09.06.2025,10.06.2025 04:40
НКО,8746,834,89,1,Красноярский край,10.04.2024,10.04.2024 09:28
информационные технологии,5993,1044,67,0,Пермский край,22.01.2023,22.01.2023 05:33
энергетика,5635,787,121,0,Омская область,04.09.2025,04.09.2025 15:00
реклама,4800,1422,60,0,Иркутская область,04.02.2025,04.02.2025 14:26
медицина,7162,1008,64,0,Республика Крым,09.03.2025,09.03.2025 15:14
автобизнес,1298,1064,161,0,Алтайский край,10.07.2024,10.07.2024 16:41
медицина,4405,1045,49,0,Орловская область,07.10.2023,07.10.2023 12:07
НКО,7461,1465,116,1,Магаданская область,04.10.2025,04.10.2025 17:20
металлургия,2493,301,137,0,Орловская область,29.07.2023,29.07.2023 12:17
энергетика,7184,1689,3,0,Архангельская область,05.11.2023,05.11.2023 03:31
ресторанный бизнес,5602,1060,80,1,Ростовская область,07.08.2025,08.08.2025 01:50
машиностроение,5411,364,216,0,Краснодарский край,29.06.2024,29.06.2024 15:04
медицина,7703,571,50,1,Ставропольский край,26.01.2023,26.01.2023 06:49
отели,6305,1779,114,0,Республика Адыгея,12.02.2024,12.02.2024 17:47
химия,8539,1563,54,1,Кабардино-Балкарская Республика,01.10.2024,01.10.2024 13:10
НКО,0692,1725,141,0,Чувашская Республика,12.09.2025,12.09.2025 23:19
ресторанный бизнес,5906,306,222,0,Новгородская область,28.04.2024,28.04.2024 23:27
телекоммуникации,0247,542,204,1,Республика Саха (Якутия),03.09.2023,03.09.2023 21:50
отели,0147,286,149,1,Хабаровский край,14.11.2023,14.11.2023 21:49
добыча,4076,522,128,0,Херсонская область,24.11.2024,24.11.2024 23:03
машиностроение,5825,1520,40,0,Ярославская область,26.09.2025,26.09.2025 10:20
медицина,5691,1849,113,0,Москва,12.02.2025,12.02.2025 14:46
энергетика,4108,280,125,1,Республика Бурятия,26.08.2024,27.08.2024 01:44
логистика,3110,1360,48,1,Ульяновская область,17.08.2025,17.08.2025 11:55
образование,9086,528,18,0,Тюменская область,28.08.2024,28.08.2024 13:34
системная интеграция,7440,201,199,1,Орловская область,08.02.2023,08.02.2023 22:54
системная интеграция,3913,856,185,0,Донецкая Народная Республика,04.03.2025,04.03.2025 09:33
логистика,9036,515,157,1,Ульяновская область,19.04.2025,19.04.2025 23:20
химия,1578,1271,169,0,Республика Карелия,23.09.2023,23.09.2023 08:55
машиностроение,3311,419,125,0,Вологодская область,07.03.2023,07.03.2023 21:41
маркетинг,8027,1276,160,1,Республика Коми,20.01.2025,20.01.2025 10:38
добыча,0215,627,168,1,Ненецкий автономный округ,16.08.2025,16.08.2025 23:03
системная интеграция,9143,1722,107,1,Краснодарский край,28.06.2024,28.06.2024 19:02
добыча,4980,359,56,0,Вологодская область,18.04.2024,18.04.2024 20:24
ресторанный бизнес,3165,1277,169,0,Забайкальский край,02.01.2024,03.01.2024 02:47
медицина,6803,1728,28,1,Запорожская область,28.07.2025,29.07.2025 01:42
реклама,1706,541,203,0,Иркутская область,02.04.2025,03.04.2025 00:21
розничная торговля,8748,1428,114,1,Пензенская область,26.10.2024,26.10.2024 14:26
НКО,7055,1891,186,1,Приморский край,07.05.2024,08.05.2024 04:34
ресторанный бизнес,6146,1768,141,1,Республика Калмыкия,15.07.2025,15.07.2025 17:25
металлургия,0568,782,153,0,Алтайский край,04.10.2023,04.10.2023 16:00
информационные технологии,3636,639,220,1,Москва,19.07.2024,19.07.2024 20:32
медицина,9350,1370,40,0,Республика Адыгея,31.07.2025,31.07.2025 14:09
энергетика,4342,951,150,0,Рязанская область,08.06.2024,08.06.2024 12:05
фармацевтика,6551,1365,56,0,Ульяновская область,15.09.2025,15.09.2025 08:31
фармацевтика,1563,1419,165,1,Республика Адыгея,20.02.2025,20.02.2025 05:49
машиностроение,5479,912,226,1,Республика Дагестан,04.09.2023,04.09.2023 10:47
НКО,9869,223,163,1,Республика Коми,16.09.2024,16.09.2024 19:02
телекоммуникации,8847,1356,39,1,Новосибирская область,28.03.2024,28.03.2024 11:03
маркетинг,7301,1741,153,0,Воронежская область,03.06.2025,03.06.2025 12:50
маркетинг,2426,470,87,0,Курганская область,11.04.2023,11.04.2023 22:25
автобизнес,1394,1016,129,1,Ярославская область,04.10.2023,04.10.2023 18:35
ресторанный бизнес,7994,1009,167,0,Республика Бурятия,09.12.2025,09.12.2025 15:15
добыча,4363,1790,111,1,Херсонская область,03.07.2023,03.07.2023 06:42
реклама,6940,948,90,0,Ульяновская область,06.12.2024,06.12.2024 22:41
металлургия,4995,546,90,1,Магаданская область,26.10.2023,27.10.2023 01:02
отели,3272,1603,96,0,Ненецкий автономный округ,19.08.2023,20.08.2023 02:03
отели,2420,1979,214,1,Санкт-Петербург,04.12.2024,05.12.2024 01:51
химия,5000,1121,121,0,Самарская область,04.03.2024,05.03.2024 02:34
ресторанный бизнес,3340,1319,134,1,Иркутская область,16.09.2025,17.09.2025 03:46
энергетика,0302,971,150,0,Чувашская Республика,15.12.2023,15.12.2023 04:18
ресторанный бизнес,4445,308,120,0,Ленинградская область,06.03.2025,07.03.2025 00:17
системная интеграция,1768,239,75,1,Рязанская область,18.02.2025,18.02.2025 19:45
химия,5169,1192,222,0,Орловская область,12.02.2024,12.02.2024 19:29
медицина,0353,281,64,1,Самарская область,30.09.2025,30.09.2025 15:47
розничная торговля,0302,910,176,1,Астраханская область,11.09.2024,11.09.2024 10:32
автобизнес,1016,1481,66,1,Московская область,27.07.2024,27.07.2024 10:09
телекоммуникации,6437,1545,36,0,Ставропольский край,02.12.2025,03.12.2025 00:39
НКО,3727,1054,62,0,Республика Карачаево-Черкесия,01.10.2024,01.10.2024 22:21
консалтинг,8884,469,53,0,Республика Саха (Якутия),19.02.2024,19.02.2024 13:19
безопасность,2216,1080,198,0,Севастополь,20.11.2023,20.11.2023 13:04
медицина,8733,1673,31,0,Пензенская область,26.10.2023,27.10.2023 02:01
телекоммуникации,6784,1042,78,1,Чукотский автономный округ,14.07.2024,14.07.2024 16:49
ресторанный бизнес,1750,469,48,0,Сахалинская область,30.06.2024,01.07.2024 06:36
образование,3784,1421,60,0,Херсонская область,23.02.2023,23.02.2023 14:05
логистика,2197,1228,217,1,Севастополь,04.02.2025,04.02.2025 08:54
маркетинг,8052,1170,36,0,Курская область,08.04.2024,08.04.2024 04:26
металлургия,4422,1045,57,0,Липецкая область,16.05.2023,16.05.2023 08:59
консалтинг,8028,1608,84,1,Республика Марий,25.05.2025,25.05.2025 15:49
машиностроение,9961,1705,212,1,Пензенская область,18.03.2025,18.03.2025 22:47
фармацевтика,9729,1298,135,0,Алтайский край,12.08.2023,12.08.2023 21:29
машиностроение,4026,1262,138,1,Республика Карелия,04.03.2025,04.03.2025 19:48
НКО,0808,588,75,1,Республика Северная Осетия-Алания,15.09.2024,15.09.2024 12:29
розничная торговля,6922,802,157,0,Алтайский край,19.10.2023,19.10.2023 21:53
НКО,7401,385,185,0,Орловская область,05.10.2023,05.10.2023 15:26
телекоммуникации,7388,251,46,1,Еврейская автономная область,18.02.2024,19.02.2024 00:05
автобизнес,5310,1616,167,0,Тверская область,06.07.2023,06.07.2023 06:45
консалтинг,5947,374,135,1,Кемеровская область,24.11.2023,24.11.2023 19:35
маркетинг,0720,1773,44,1,Забайкальский край,04.11.2023,04.11.2023 14:55
энергетика,2931,1775,183,0,Республика Дагестан,22.09.2024,22.09.2024 12:46
консалтинг,4732,1482,47,0,Ярославская область,20.02.2024,20.02.2024 03:39
автобизнес,0201,1139,128,1,Красноярский край,12.01.2023,13.01.2023 02:56
логистика,3898,644,151,1,Свердловская область,19.04.2025,19.04.2025 19:05
образование,9833,213,63,1,Магаданская область,01.03.2024,01.03.2024 12:11
энергетика,0903,1537,90,0,Владимирская область,08.03.2023,09.03.2023 00:36
образование,4890,878,23,0,Псковская область,03.05.2025,03.05.2025 08:10
информационные технологии,9748,1372,202,0,Свердловская область,07.01.2025,07.01.2025 06:05
информационные технологии,5290,954,98,0,Республика Карачаево-Черкесия,13.05.2023,13.05.2023 12:30
энергетика,2000,1622,221,1,Самарская область,15.12.2025,15.12.2025 16:33
ресторанный бизнес,3426,1453,15,0,Амурская область,19.12.2025,19.12.2025 11:30
образование,4706,1074,156,1,Республика Мордовия,12.12.2025,12.12.2025 21:39
системная интеграция,2126,1458,145,1,Алтайский край,16.10.2025,16.10.2025 22:51
розничная торговля,9985,676,182,1,Курская область,04.01.2023,04.01.2023 06:01
консалтинг,1933,1710,218,0,Сахалинская область,29.04.2025,30.04.2025 00:02
телекоммуникации,5729,1347,207,0,Санкт-Петербург,17.02.2024,18.02.2024 01:18
автобизнес,1112,830,77,1,Калининградская область,22.08.2023,22.08.2023 23:21
телекоммуникации,6489,1683,146,0,Калужская область,02.02.2024,02.02.2024 13:53
телекоммуникации,7850,1171,205,0,Республика Крым,06.10.2023,06.10.2023 18:09
НКО,7547,1971,138,1,Челябинская область,27.04.2025,28.04.2025 04:03
безопасность,4905,1357,186,1,Республика Бурятия,08.02.2023,08.02.2023 14:36
телекоммуникации,5794,335,39,1,Московская область,25.11.2024,25.11.2024 15:40
медицина,2720,1369,156,1,Орловская область,28.08.2023,28.08.2023 12:45
телекоммуникации,0519,756,106,0,Томская область,01.05.2024,01.05.2024 18:28
информационные технологии,3542,1275,78,0,Новгородская область,05.02.2025,05.02.2025 04:49
ресторанный бизнес,1518,1108,130,0,Оренбургская область,21.10.2025,21.10.2025 09:12
телекоммуникации,7922,1700,224,1,Ульяновская область,21.10.2023,21.10.2023 06:52
безопасность,2175,620,186,0,Свердловская область,04.03.2025,05.03.2025 03:55
безопасность,1898,208,80,0,Херсонская область,28.06.2023,28.06.2023 13:29
машиностроение,1690,1266,197,1,Москва,01.10.2024,01.10.2024 23:57
ресторанный бизнес,5258,610,50,1,Кировская область,26.12.2025,26.12.2025 13:49
консалтинг,1928,758,39,0,Кировская область,23.08.2023,23.08.2023 03:39
медицина,8423,409,53,1,Иркутская область,14.10.2024,14.10.2024 16:09
информационные технологии,9406,701,44,0,Республика Башкортостан,24.11.2024,24.11.2024 22:28
машиностроение,2132,259,121,0,Псковская область,24.02.2025,24.02.2025 04:05
реклама,6422,566,181,1,Сахалинская область,29.12.2024,29.12.2024 20:21
ресторанный бизнес,8741,360,194,1,Забайкальский край,27.09.2023,27.09.2023 11:52
консалтинг,1594,1133,80,1,Курганская область,19.04.2024,19.04.2024 12:09
образование,4228,944,101,0,Луганская Народная Республика,07.11.2024,07.11.2024 13:29
логистика,0496,333,122,0,Волгоградская область,07.09.2025,07.09.2025 17:54
розничная торговля,4625,1772,90,0,Кемеровская область,30.07.2023,30.07.2023 19:52
химия,5340,1338,167,0,Пермский край,27.12.2025,27.12.2025 19:25
фармацевтика,6774,688,159,0,Иркутская область,22.11.2023,22.11.2023 23:24
добыча,5583,626,209,1,Ямало-Ненецкий автономный округ,01.12.2024,01.12.2024 22:44
отели,2836,1557,172,0,Амурская область,23.09.2025,23.09.2025 12:37
образование,7585,866,143,0,Ханты-Мансийский автономный округ - Югра,27.12.2023,27.12.2023 14:25
добыча,9802,422,176,1,Ульяновская область,09.10.2025,09.10.2025 23:42
машиностроение,1484,645,210,0,Республика Саха (Якутия),01.01.2023,01.01.2023 13:42
энергетика,7422,1288,75,1,Сахалинская область,04.07.2025,04.07.2025 17:13
телекоммуникации,4911,1367,204,1,Ямало-Ненецкий автономный округ,06.12.2024,06.12.2024 07:37
металлургия,8363,1027,217,0,Удмуртская Республика,08.05.2023,08.05.2023 14:57
медицина,0871,201,181,1,Новгородская область,31.07.2024,31.07.2024 03:15
реклама,9670,1007,161,1,Ставропольский край,11.04.2025,11.04.2025 15:27
медицина,3461,1556,45,1,Ивановская область,21.01.2024,21.01.2024 20:24
системная интеграция,6836,515,74,0,Ивановская область,24.01.2023,24.01.2023 05:41
металлургия,2360,1677,227,1,Донецкая Народная Республика,13.06.2025,13.06.2025 07:05
энергетика,6814,1961,117,1,Магаданская область,04.01.2024,05.01.2024 01:32
реклама,9045,1879,116,1,Астраханская область,07.04.2024,07.04.2024 08:27
образование,0122,1383,128,0,Новосибирская область,05.07.2024,05.07.2024 20:59
медицина,9443,951,9,0,Забайкальский край,16.09.2025,17.09.2025 07:23
химия,9508,1186,177,0,Владимирская область,14.12.2025,14.12.2025 11:29
безопасность,1282,1271,157,0,Республика Марий,25.08.2025,25.08.2025 23:47
добыча,8835,1834,149,1,Сахалинская область,19.04.2023,19.04.2023 21:34
металлургия,7682,1129,132,1,Амурская область,09.11.2024,09.11.2024 22:22
информационные технологии,4739,543,10,1,Забайкальский край,17.06.2024,17.06.2024 10:40
логистика,9473,546,147,0,Донецкая Народная Республика,20.08.2024,21.08.2024 02:39
металлургия,4700,1192,22,0,Новосибирская область,07.06.2023,07.06.2023 15:16
энергетика,4604,763,220,1,Санкт-Петербург,17.08.2023,17.08.2023 22:11
фармацевтика,2477,1549,115,1,Калужская область,19.06.2024,20.06.2024 01:15
логистика,2963,1837,136,0,Саратовская область,22.06.2023,22.06.2023 07:38
энергетика,8126,1741,106,1,Тульская область,20.06.2025,21.06.2025 02:40
розничная торговля,3455,1383,188,1,Республика Коми,25.06.2024,25.06.2024 06:03
розничная торговля,7603,1016,122,1,Курганская область,26.12.2025,26.12.2025 12:24
маркетинг,7776,737,38,1,Санкт-Петербург,14.08.2024,14.08.2024 17:24
телекоммуникации,8688,1598,11,0,Республика Хакасия,25.12.2024,25.12.2024 20:39
НКО,4467,886,70,1,Вологодская область,06.06.2024,06.06.2024 23:37
маркетинг,7555,1783,173,0,Запорожская область,04.02.2024,04.02.2024 19:21
розничная торговля,5133,1321,3,0,Ленинградская область,25.01.2023,25.01.2023 16:06
безопасность,1703,1603,115,1,Воронежская область,03.08.2024,03.08.2024 11:12
машиностроение,0389,1468,24,0,Хабаровский край,20.03.2024,21.03.2024 05:40
химия,1966,376,220,0,Ставропольский край,14.01.2024,14.01.2024 06:44
розничная торговля,4151,803,120,0,Чукотский автономный округ,17.07.2025,17.07.2025 20:49
реклама,5299,727,42,0,Кировская область,08.05.2023,08.05.2023 15:24
телекоммуникации,0985,728,209,1,Калужская область,21.06.2025,21.06.2025 05:31
ресторанный бизнес,6433,565,166,1,Псковская область,22.10.2023,22.10.2023 20:49
реклама,3579,1457,165,0,Ханты-Мансийский автономный округ - Югра,14.06.2024,14.06.2024 08:02
добыча,1154,1370,187,1,Тюменская область,08.02.2023,08.02.2023 20:09
НКО,0015,277,171,1,Нижегородская область,07.11.2023,08.11.2023 01:21
маркетинг,9415,207,132,1,Оренбургская область,12.06.2025,12.06.2025 17:54
добыча,8850,662,1,1,Оренбургская область,06.09.2023,06.09.2023 23:34
системная интеграция,5464,1596,78,1,Краснодарский край,05.07.2023,05.07.2023 14:34
телекоммуникации,1319,1922,118,1,Республика Крым,20.02.2024,20.02.2024 08:35
машиностроение,6295,1553,49,1,Кабардино-Балкарская Республика,07.08.2023,07.08.2023 23:44
системная интеграция,7971,373,227,1,Курская область,14.10.2023,14.10.2023 04:12
металлургия,9715,688,126,1,Ленинградская область,22.09.2024,22.09.2024 18:34
консалтинг,0269,275,87,0,Саратовская область,29.03.2023,29.03.2023 15:07
ресторанный бизнес,8571,1138,174,0,Республика Саха (Якутия),22.04.2024,22.04.2024 11:02
энергетика,8011,1539,5,1,Магаданская область,04.04.2023,04.04.2023 18:44
НКО,2139,229,45,0,Республика Башкортостан,19.07.2023,19.07.2023 19:39
розничная торговля,9684,330,210,0,Новгородская область,15.10.2025,15.10.2025 22:51
образование,3614,329,206,0,Республика Карачаево-Черкесия,21.11.2024,22.11.2024 02:43
маркетинг,5313,447,176,0,Ульяновская область,12.03.2024,12.03.2024 04:37
розничная торговля,5497,329,31,1,Владимирская область,30.04.2025,30.04.2025 08:44
системная интеграция,9068,537,113,0,Республика Саха (Якутия),25.03.2023,25.03.2023 13:06
НКО,6163,1792,41,0,Омская область,15.06.2023,15.06.2023 06:00
розничная торговля,1461,1647,167,1,Республика Дагестан,01.09.2025,02.09.2025 01:08
ресторанный бизнес,2345,1510,70,1,Чеченская республика,04.05.2024,04.05.2024 08:39
машиностроение,9770,568,184,1,Сахалинская область,30.06.2023,01.07.2023 07:52
информационные технологии,5700,1057,2,0,Курская область,29.08.2023,29.08.2023 19:06
образование,5930,1966,195,0,Челябинская область,02.03.2024,02.03.2024 13:03
ресторанный бизнес,1847,1831,39,1,Томская область,28.12.2023,28.12.2023 12:42
машиностроение,0886,1520,94,1,Липецкая область,09.06.2025,09.06.2025 11:21
образование,7425,288,27,0,Республика Хакасия,27.12.2023,27.12.2023 12:50
металлургия,7948,1254,30,0,Тульская область,29.06.2025,29.06.2025 21:37
телекоммуникации,6866,607,192,1,Рязанская область,14.08.2023,14.08.2023 13:14
химия,3885,1710,106,0,Ставропольский край,27.03.2024,27.03.2024 05:30
